Calculus 1, 3, A0
Introduction to Programming, 3, A-
Calculus II, 3, A0
Introduction to Linear Algebra, 3, A-
Probability and Statistics, 3, A-
Discrete Mathematics, 3, B-
Data Structure, 3, A0
Introduction to Social Computing, 3, B+
Computer Organization, 3, S
Programming Language, 3, B+
Programming Principles, 3, S
System Programming, 3, B+
Basics of Artificial Intelligence<Big data analysis and machine learning, 3, A-
Introduction to Algorithm, 3, A-
Introduction to Computer Networks, 4, B+
Differential Equations and Applications, 3, B+
Introduction to Software Engineering, 3, S
Introduction to Database, 3, A-
Special Topics in Computer Science<Introduction to Data Science>, 3, A-
Individual Study, 1, S
Individual Study, 1, S
Introduction to Information Security, 3, B0
Research in Computer Science, 3, S
